"","niter_z","niter_t","niter_chisq","niter_f"
"102",21,18,27,18
"103",21,18,14,23
"104",18,20,24,22
"105",24,21,22,20
"106",13,20,19,22
"107",16,27,19,29
"108",23,24,25,17
"109",25,14,32,18
"110",16,24,19,26
"111",22,21,18,24
"112",29,24,21,26
"113",22,29,18,22
"114",19,16,24,24
"115",16,27,28,18
"116",21,15,16,25
"117",22,17,23,26
"118",22,18,24,19
"119",17,28,22,25
"120",21,19,25,23
"121",25,24,20,17
"122",19,20,23,16
"123",23,20,24,18
"124",24,25,25,28
"125",22,21,17,22
"126",25,21,24,23
"127",18,21,25,23
"128",18,17,28,20
"129",22,29,32,16
"130",21,18,15,27
"131",21,24,25,20
"132",25,23,30,20
"133",26,22,17,21
"134",18,10,26,17
"135",27,16,19,20
"136",26,16,12,12
"137",19,27,18,14
"138",21,27,21,21
"139",26,17,18,28
"140",21,18,21,29
"141",25,16,21,24
"142",17,21,21,26
"143",31,22,20,30
"144",23,15,25,27
"145",36,21,19,30
"146",16,24,22,26
"147",17,26,24,25
"148",24,22,18,25
"149",23,23,20,23
"150",24,17,23,27
"151",23,26,15,19
"152",22,20,25,22
"153",20,27,25,27
"154",19,15,17,22
"155",23,20,19,31
"156",14,24,17,22
"157",19,27,26,18
"158",31,21,20,18
"159",23,18,24,19
"160",18,22,23,26
"161",28,28,22,19
"162",19,23,21,25
"163",27,21,18,28
"164",25,28,24,18
"165",21,21,19,25
"166",16,16,18,19
"167",18,19,19,20
"168",17,28,14,15
"169",22,23,22,24
"170",31,22,23,21
"171",22,20,22,34
"172",18,15,19,21
"173",14,19,23,19
"174",17,21,23,22
"175",22,21,24,21
"176",16,12,27,24
"177",28,26,32,23
"178",13,30,21,24
"179",21,20,23,20
"180",22,25,21,22
"181",17,22,22,23
"182",20,24,11,18
"183",18,18,21,15
"184",24,24,21,21
"185",18,17,27,21
"186",21,16,17,22
"187",24,22,23,20
"188",16,28,23,26
"189",24,22,23,12
"190",29,19,23,16
"191",25,17,23,22
"192",21,25,25,33
"193",24,19,23,18
"194",25,22,18,27
"195",14,20,18,23
"196",27,23,21,19
"197",16,22,20,13
"198",27,19,26,15
"199",23,21,20,27
"200",23,22,26,22
"201",24,19,21,22
"202",18,15,24,25
"203",21,27,26,27
"204",20,31,21,21
"205",17,24,22,23
"206",15,16,18,26
"207",30,28,21,31
"208",12,27,24,23
"209",24,21,24,26
"210",13,27,21,28
"211",15,23,24,24
"212",22,19,19,29
"213",16,27,38,34
"214",18,16,25,24
"215",15,22,20,18
"216",10,27,19,18
"217",21,17,18,13
"218",19,23,18,15
"219",20,19,22,30
"220",20,21,22,22
"221",24,18,15,32
"222",22,21,27,13
"223",18,25,29,26
"224",15,23,23,22
"225",20,28,19,24
"226",24,19,27,28
"227",23,17,21,21
"228",17,19,15,24
"229",22,27,18,32
"230",20,26,24,22
"231",20,21,14,25
"232",24,19,18,21
"233",22,16,19,24
"234",23,21,29,21
"235",26,19,15,22
"236",19,20,13,15
"237",19,15,21,20
"238",20,14,17,18
"239",24,16,21,13
"240",26,21,18,19
"241",21,24,25,30
"242",29,20,23,20
"243",15,20,19,17
"244",10,24,24,23
"245",21,20,24,17
"246",18,17,20,17
"247",22,15,28,17
"248",25,21,21,32
"249",23,27,24,24
"250",19,22,20,25
"251",24,24,16,22
"252",21,26,20,31
"253",24,19,13,23
"254",23,20,27,26
"255",24,21,18,28
"256",26,18,20,9
"257",23,22,18,20
"258",20,22,17,20
"259",23,18,17,23
"260",24,21,16,19
"261",18,16,26,20
"262",20,17,20,22
"263",28,23,23,14
"264",22,23,17,24
"265",23,18,23,21
"266",25,20,20,23
"267",16,23,23,22
"268",11,19,19,26
"269",20,23,20,17
"270",20,32,23,21
"271",32,13,19,27
"272",14,20,25,17
"273",25,15,26,22
"274",15,25,15,20
"275",25,26,15,25
"276",17,18,24,20
"277",15,17,15,28
"278",30,22,23,23
"279",22,14,29,27
"280",21,22,13,18
"281",17,21,26,20
"282",22,18,19,22
"283",23,22,29,22
"284",20,18,20,16
"285",26,19,21,18
"286",18,27,12,22
"287",23,22,14,25
"288",23,23,20,27
"289",13,18,13,24
"290",16,19,13,27
"291",20,24,22,20
"292",23,20,24,18
"293",24,15,19,22
"294",21,20,20,30
"295",24,22,22,31
"296",18,21,18,20
"297",18,25,24,23
"298",24,25,26,22
"299",20,26,27,20
"300",11,28,21,20
"301",25,20,24,23
"302",19,23,16,19
"303",16,28,20,16
"304",22,14,12,17
"305",23,25,15,22
"306",14,33,21,20
"307",20,28,18,19
"308",22,18,16,26
"309",21,17,16,25
"310",26,27,24,24
"311",17,19,23,30
"312",21,20,24,24
"313",28,23,23,28
"314",15,25,18,22
"315",18,32,22,17
"316",17,29,21,17
"317",23,23,25,22
"318",18,23,20,31
"319",20,21,25,17
"320",23,27,18,31
"321",20,22,21,19
"322",20,17,18,23
"323",19,22,30,26
"324",25,25,15,25
"325",21,20,23,23
"326",25,23,24,19
"327",27,22,29,19
"328",24,22,26,25
"329",15,16,14,22
"330",20,23,23,17
"331",24,21,20,18
"332",26,18,20,22
"333",20,24,18,22
"334",19,18,13,21
"335",25,21,19,25
"336",26,13,24,24
"337",22,20,27,20
"338",22,13,24,22
"339",26,16,17,23
"340",28,22,19,20
"341",18,19,19,21
"342",22,15,18,26
"343",14,27,21,20
"344",27,25,16,21
"345",28,25,22,25
"346",19,19,23,14
"347",18,28,19,27
"348",21,20,14,34
"349",20,17,27,26
"350",20,20,21,29
"351",21,28,26,19
"352",24,23,20,23
"353",25,23,24,27
"354",22,25,18,14
"355",11,21,22,30
"356",25,21,20,24
"357",26,27,21,23
"358",19,18,16,19
"359",27,21,27,25
"360",20,21,16,18
"361",22,23,28,23
"362",18,17,21,21
"363",19,23,23,21
"364",19,18,28,23
"365",25,24,20,24
"366",19,28,25,20
"367",21,16,17,27
"368",27,19,19,16
"369",21,20,22,25
"370",29,21,26,24
"371",13,26,22,21
"372",27,24,24,25
"373",20,20,19,17
"374",22,18,21,23
"375",26,22,26,19
"376",35,19,18,22
"377",43,16,23,30
"378",27,16,15,29
"379",28,29,17,29
"380",24,18,29,20
"381",23,23,17,14
"382",19,20,21,13
"383",20,23,27,19
"384",25,29,22,24
"385",26,27,28,23
"386",23,19,13,16
"387",25,27,27,25
"388",15,15,25,26
"389",26,18,22,24
"390",27,20,22,20
"391",22,15,21,22
"392",25,19,20,20
"393",21,17,14,15
"394",17,27,15,28
"395",19,13,13,17
"396",23,17,24,25
"397",25,25,15,21
"398",12,24,18,27
"399",31,23,13,24
"400",21,23,25,16
"401",34,25,29,24
"402",26,20,22,23
"403",22,16,18,24
"404",22,16,19,27
"405",15,21,22,18
"406",19,25,24,22
"407",20,22,17,24
"408",23,19,18,19
"409",25,18,22,28
"410",22,21,24,17
"411",19,15,19,17
"412",16,24,22,27
"413",20,26,17,23
"414",19,22,22,15
"415",26,35,17,20
"416",18,20,16,27
"417",22,17,18,11
"418",10,29,19,24
"419",23,19,27,22
"420",23,16,21,24
"421",18,24,10,31
"422",23,21,21,23
"423",18,22,17,16
"424",21,26,17,17
"425",15,23,25,21
"426",23,23,23,18
"427",28,11,24,29
"428",17,18,21,22
"429",14,24,20,11
"430",26,24,16,24
"431",20,18,16,19
"432",23,22,19,23
"433",16,23,18,17
"434",15,26,29,21
"435",25,18,21,14
"436",12,17,19,28
"437",28,18,14,27
"438",20,20,22,28
"439",20,21,14,22
"440",23,16,12,29
"441",18,22,20,18
"442",10,21,18,26
"443",20,14,23,18
"444",24,17,28,29
"445",15,20,21,19
"446",24,20,20,28
"447",21,20,19,22
"448",26,19,25,22
"449",23,27,32,23
"450",21,21,23,25
"451",24,21,22,19
"452",24,25,18,17
"453",22,13,24,32
"454",17,19,24,25
"455",14,33,20,22
"456",25,23,25,29
"457",18,14,20,24
"458",23,13,26,20
"459",26,27,28,21
"460",16,23,15,19
"461",22,23,25,25
"462",24,19,20,21
"463",25,12,11,19
"464",22,24,19,21
"465",17,24,21,22
"466",26,25,27,23
"467",22,16,25,34
"468",24,22,23,19
"469",15,21,19,15
"470",12,16,25,14
"471",19,18,14,15
"472",22,22,27,24
"473",25,25,23,27
"474",22,15,24,24
"475",18,27,25,19
"476",22,16,21,22
"477",24,23,25,25
"478",23,17,23,17
"479",34,24,21,17
"480",22,19,25,29
"481",21,16,25,26
"482",24,23,18,15
"483",22,24,25,17
"484",20,24,18,26
"485",32,18,20,18
"486",16,21,14,22
"487",26,20,21,26
"488",16,19,19,23
"489",13,35,22,15
"490",23,32,23,26
"491",21,18,29,26
"492",25,22,22,18
"493",25,26,22,20
"494",26,29,31,15
"495",16,18,21,34
"496",27,20,26,19
"497",19,19,27,21
"498",18,27,22,10
"499",19,23,19,31
"500",21,22,21,27
"501",21,24,16,23
"502",16,17,25,38
"503",31,21,27,20
"504",25,18,30,16
"505",18,26,16,20
"506",15,23,21,17
"507",14,22,21,26
"508",20,25,16,21
"509",24,21,17,25
"510",25,24,22,23
"511",24,23,26,19
"512",15,26,21,27
"513",18,29,25,26
"514",27,21,17,24
"515",19,20,25,25
"516",28,24,23,27
"517",16,28,25,31
"518",16,30,17,16
"519",17,29,23,27
"520",22,22,15,25
"521",23,23,22,19
"522",18,19,22,27
"523",23,22,14,23
"524",21,21,28,19
"525",29,29,22,22
"526",21,16,22,21
"527",21,22,28,23
"528",14,22,18,21
"529",20,13,17,26
"530",27,23,15,20
"531",20,23,29,22
"532",24,22,25,22
"533",19,19,17,35
"534",24,22,21,12
"535",16,23,19,21
"536",19,23,24,20
"537",22,22,15,18
"538",21,22,24,28
"539",11,21,19,26
"540",24,21,16,21
"541",25,27,20,16
"542",22,32,21,29
"543",25,24,32,22
"544",26,19,24,24
"545",24,19,18,18
"546",18,26,23,22
"547",26,27,16,20
"548",21,26,27,25
"549",38,17,21,26
"550",18,20,19,27
"551",19,15,22,26
"552",22,21,19,28
"553",25,23,19,17
"554",19,18,25,19
"555",19,23,13,25
"556",20,25,14,21
"557",21,27,17,20
"558",23,18,26,27
"559",21,22,23,19
"560",19,18,24,24
"561",22,27,25,16
"562",22,24,21,23
"563",24,22,14,26
"564",20,24,18,20
"565",23,15,18,20
"566",21,29,25,23
"567",17,21,18,25
"568",21,20,18,21
"569",27,18,25,24
"570",22,26,14,31
"571",19,21,18,23
"572",28,30,18,16
"573",27,23,16,20
"574",14,23,20,27
"575",25,18,17,18
"576",15,19,19,22
"577",25,25,23,22
"578",18,15,27,30
"579",21,24,21,26
"580",24,26,36,32
"581",17,13,20,16
"582",25,24,26,38
"583",20,21,23,12
"584",27,20,18,21
"585",28,22,23,22
"586",27,19,22,21
"587",26,21,18,15
"588",25,17,22,28
"589",25,30,16,28
"590",18,28,29,21
"591",19,20,17,18
"592",24,24,18,24
"593",24,18,29,18
"594",26,21,19,23
"595",18,18,18,18
"596",18,16,21,23
"597",20,23,11,27
"598",27,25,19,26
"599",13,25,26,21
"600",20,24,24,22
"601",22,24,15,24
"602",28,19,20,20
"603",17,17,17,15
"604",18,23,16,11
"605",25,24,25,21
"606",21,20,23,19
"607",31,16,21,21
"608",24,17,25,19
"609",22,24,22,29
"610",21,25,15,15
"611",18,24,21,25
"612",21,22,26,30
"613",17,24,25,20
"614",21,23,20,23
"615",25,16,18,15
"616",18,18,24,32
"617",18,19,22,27
"618",28,16,18,22
"619",15,21,19,26
"620",20,18,16,22
"621",22,25,23,28
"622",26,26,22,26
"623",28,22,16,24
"624",19,27,25,16
"625",21,23,27,26
"626",19,21,17,26
"627",26,25,19,23
"628",15,21,16,17
"629",17,18,17,24
"630",19,22,21,16
"631",23,23,27,23
"632",20,22,23,31
"633",29,18,24,22
"634",18,29,18,21
"635",30,30,20,23
"636",20,27,24,24
"637",18,21,17,18
"638",22,22,24,25
"639",24,21,17,23
"640",20,29,19,15
"641",19,22,20,21
"642",19,23,24,29
"643",24,27,26,28
"644",24,26,16,16
"645",18,19,16,32
"646",15,27,17,21
"647",18,17,22,25
"648",17,18,11,29
"649",22,21,19,24
"650",19,24,29,31
"651",25,23,14,28
"652",20,23,23,25
"653",13,26,23,25
"654",14,18,20,28
"655",15,24,26,19
"656",17,23,17,17
"657",20,22,18,30
"658",19,20,19,21
"659",25,23,20,23
"660",18,19,25,15
"661",23,21,15,16
"662",24,16,24,22
"663",26,23,21,27
"664",21,17,22,26
"665",20,23,15,20
"666",31,17,21,24
"667",19,27,25,22
"668",10,29,15,22
"669",21,24,23,22
"670",21,21,12,21
"671",21,15,25,19
"672",18,25,21,20
"673",27,20,20,22
"674",27,27,19,23
"675",20,27,26,32
"676",25,21,18,12
"677",26,21,18,23
"678",22,26,19,21
"679",18,17,16,21
"680",18,23,19,17
"681",15,17,26,25
"682",29,29,15,27
"683",30,23,19,20
"684",16,20,21,18
"685",21,30,13,23
"686",12,29,19,16
"687",17,28,14,16
"688",21,18,25,23
"689",21,14,28,19
"690",18,23,21,20
"691",20,23,16,26
"692",24,13,20,33
"693",21,21,18,25
"694",24,19,32,25
"695",24,18,17,25
"696",20,14,21,18
"697",21,19,23,22
"698",26,19,25,20
"699",27,20,21,22
"700",24,28,23,23
"701",23,21,21,22
"702",17,26,18,30
"703",16,22,12,21
"704",17,15,14,31
"705",24,22,18,32
"706",27,25,16,18
"707",19,20,19,22
"708",20,24,17,28
"709",28,27,24,27
"710",21,19,26,24
"711",24,24,26,35
"712",28,27,20,19
"713",17,17,15,28
"714",21,18,23,21
"715",12,23,15,22
"716",21,22,18,20
"717",31,20,23,25
"718",22,17,21,22
"719",22,22,16,19
"720",15,22,25,28
"721",20,24,23,23
"722",26,26,23,22
"723",26,25,19,28
"724",22,19,19,22
"725",13,25,22,32
"726",24,24,26,26
"727",17,19,19,20
"728",23,18,17,15
"729",15,14,23,24
"730",23,29,17,18
"731",18,24,20,26
"732",21,23,21,20
"733",20,21,20,21
"734",24,16,26,23
"735",25,17,30,29
"736",20,18,22,20
"737",21,17,25,24
"738",23,24,25,22
"739",19,26,21,21
"740",20,16,22,22
"741",26,20,22,24
"742",23,16,27,26
"743",20,23,22,18
"744",27,22,16,19
"745",26,21,20,26
"746",18,16,23,25
"747",24,24,27,27
"748",21,27,18,33
"749",15,18,24,21
"750",15,26,20,22
"751",14,25,24,32
"752",30,24,25,19
"753",18,14,16,19
"754",19,28,17,24
"755",17,18,24,13
"756",26,23,27,18
"757",23,20,22,28
"758",22,24,24,19
"759",13,20,25,21
"760",24,26,16,24
"761",25,15,18,23
"762",17,18,17,22
"763",26,12,22,23
"764",18,15,19,34
"765",25,24,21,23
"766",22,23,23,26
"767",18,29,19,26
"768",14,24,19,24
"769",23,29,27,24
"770",21,19,19,16
"771",19,25,22,21
"772",15,23,25,28
"773",18,24,21,24
"774",19,28,20,26
"775",15,15,26,24
"776",16,24,19,35
"777",30,24,20,23
"778",22,19,19,26
"779",23,17,21,9
"780",22,27,20,23
"781",24,26,19,19
"782",18,34,24,24
"783",18,23,25,25
"784",36,27,33,29
"785",25,21,31,29
"786",25,15,22,18
"787",15,23,15,27
"788",22,17,23,17
"789",22,16,24,24
"790",26,33,26,25
"791",27,15,18,25
"792",15,27,27,26
"793",20,26,25,16
"794",23,29,12,17
"795",23,21,30,25
"796",21,14,14,31
"797",23,22,23,24
"798",20,25,19,21
"799",25,20,20,25
"800",23,21,24,33
"801",23,21,16,18
"802",21,22,30,31
"803",20,17,24,27
"804",16,19,23,25
"805",21,21,13,20
"806",25,24,16,17
"807",22,28,24,22
"808",14,24,23,25
"809",21,16,23,23
"810",20,20,14,17
"811",20,22,17,17
"812",26,21,18,25
"813",21,22,15,20
"814",20,23,19,25
"815",22,19,18,18
"816",15,20,24,24
"817",26,27,22,20
"818",20,23,24,26
"819",22,23,22,21
"820",31,25,24,19
"821",20,31,25,30
"822",28,16,23,17
"823",16,12,23,22
"824",18,28,20,29
"825",16,15,32,24
"826",19,20,20,18
"827",27,15,15,22
"828",14,16,16,28
"829",20,13,21,21
"830",21,24,16,23
"831",21,24,23,24
"832",15,18,24,22
"833",27,32,24,20
"834",20,19,17,20
"835",22,28,22,27
"836",19,31,26,24
"837",27,17,15,26
"838",22,20,19,23
"839",23,19,21,16
"840",18,27,29,26
"841",19,18,19,25
"842",16,24,22,25
"843",21,16,16,30
"844",26,20,19,21
"845",21,18,22,24
"846",25,17,29,24
"847",23,18,19,22
"848",15,20,22,25
"849",18,25,20,26
"850",18,19,24,22
"851",21,20,26,34
"852",22,27,19,29
"853",21,22,20,17
"854",20,22,24,21
"855",19,23,28,19
"856",23,21,16,16
"857",24,23,27,17
"858",19,15,20,24
"859",27,25,24,19
"860",21,25,18,20
"861",22,16,21,28
"862",18,11,26,18
"863",29,28,23,16
"864",22,22,19,20
"865",25,29,21,26
"866",20,17,25,18
"867",25,16,25,28
"868",15,27,12,20
"869",21,24,22,26
"870",21,23,22,23
"871",21,18,22,28
"872",18,25,18,22
"873",26,30,23,20
"874",25,14,19,21
"875",16,26,26,23
"876",31,26,25,33
"877",21,15,22,26
"878",22,24,31,25
"879",25,17,19,26
"880",17,21,24,26
"881",21,17,19,19
"882",21,19,32,29
"883",18,20,25,16
"884",25,17,24,21
"885",19,23,23,20
"886",19,15,24,24
"887",14,21,17,20
"888",16,21,17,23
"889",20,16,21,22
"890",25,18,20,22
"891",16,24,19,21
"892",22,21,18,27
"893",22,24,16,27
"894",25,24,34,24
"895",29,33,14,26
"896",23,21,15,22
"897",27,26,21,16
"898",16,27,25,27
"899",31,17,17,27
"900",25,24,17,23
"901",24,31,26,24
"902",17,22,20,24
"903",14,23,12,24
"904",20,21,21,21
"905",18,24,21,19
"906",29,25,25,22
"907",21,25,23,20
"908",19,25,19,20
"909",22,24,20,24
"910",21,22,22,32
"911",15,23,14,21
"912",23,25,17,30
"913",25,16,23,21
"914",27,19,19,19
"915",19,24,22,19
"916",27,16,22,32
"917",18,28,20,19
"918",19,20,19,28
"919",22,19,19,18
"920",24,26,23,20
"921",18,25,14,29
"922",21,12,19,25
"923",24,23,19,13
"924",25,24,20,16
"925",27,20,16,18
"926",20,26,21,18
"927",18,30,17,21
"928",23,19,14,25
"929",19,25,21,22
"930",21,22,14,25
"931",20,16,20,27
"932",24,24,23,16
"933",27,33,20,25
"934",19,16,28,21
"935",23,20,12,26
"936",17,23,21,24
"937",19,15,15,19
"938",24,26,24,31
"939",18,25,17,14
"940",22,21,25,21
"941",29,22,27,20
"942",24,16,26,27
"943",17,24,29,20
"944",19,17,19,21
"945",20,19,19,26
"946",20,16,22,25
"947",20,25,19,23
"948",19,28,23,18
"949",28,20,27,41
"950",23,28,21,21
"951",26,25,15,20
"952",20,31,26,24
"953",22,17,18,18
"954",29,20,26,24
"955",26,23,20,21
"956",22,19,18,31
"957",16,22,17,14
"958",23,21,20,24
"959",23,17,21,25
"960",22,22,27,21
"961",23,22,20,21
"962",27,28,19,22
"963",22,19,24,21
"964",17,18,23,17
"965",20,28,27,20
"966",20,19,17,23
"967",27,30,24,12
"968",19,19,20,24
"969",22,30,28,22
"970",16,25,18,20
"971",22,26,21,27
"972",22,21,25,19
"973",20,23,21,31
"974",18,19,20,18
"975",29,26,24,22
"976",28,20,22,27
"977",16,19,23,24
"978",24,33,28,20
"979",22,15,17,20
"980",28,18,23,21
"981",15,12,21,20
"982",20,23,23,18
"983",14,28,18,28
"984",19,22,20,22
"985",17,25,26,20
"986",19,20,18,24
"987",21,31,19,20
"988",21,27,16,30
"989",15,22,17,25
"990",27,29,19,19
"991",20,31,30,23
"992",32,19,24,23
"993",27,23,22,14
"994",19,19,23,24
"995",22,20,16,18
"996",32,27,20,27
"997",24,15,18,26
"998",21,22,28,25
"999",18,19,27,19
"1000",22,24,25,25
"1001",24,28,28,20
"1002",24,25,26,19
"1003",20,16,19,25
"1004",15,27,20,21
"1005",17,35,16,31
"1006",18,19,26,17
"1007",16,25,18,24
"1008",20,20,18,27
"1009",22,17,25,22
"1010",26,22,24,21
"1011",18,25,20,22
"1012",14,20,22,20
"1013",29,23,21,21
"1014",15,19,18,28
"1015",22,20,20,19
"1016",17,15,18,20
"1017",21,20,28,28
"1018",24,22,18,26
"1019",20,27,26,22
"1020",17,18,20,26
"1021",25,14,20,21
"1022",29,31,15,16
"1023",22,24,33,17
"1024",22,27,28,20
"1025",16,27,13,26
"1026",25,27,12,22
"1027",16,18,20,20
"1028",20,21,19,36
"1029",25,20,22,24
"1030",16,22,25,25
"1031",31,20,25,20
"1032",23,17,21,13
"1033",19,15,17,23
"1034",17,18,21,30
"1035",25,22,27,26
"1036",24,25,22,13
"1037",27,19,20,23
"1038",20,23,22,32
"1039",30,26,21,23
"1040",28,11,20,20
"1041",20,19,22,20
"1042",21,18,23,23
"1043",30,32,22,21
"1044",22,26,14,13
"1045",21,25,27,20
"1046",22,24,27,21
"1047",15,21,24,20
"1048",22,26,28,23
"1049",25,29,13,25
"1050",17,27,22,20
"1051",25,26,17,29
"1052",18,27,25,27
"1053",15,20,18,19
"1054",15,28,24,17
"1055",28,18,23,24
"1056",32,22,24,29
"1057",22,19,20,19
"1058",26,20,12,21
"1059",18,24,23,25
"1060",22,22,24,29
"1061",24,16,18,25
"1062",25,22,21,17
"1063",29,24,23,20
"1064",13,23,23,25
"1065",22,27,19,22
"1066",22,20,16,23
"1067",24,21,25,22
"1068",20,22,22,18
"1069",24,24,21,19
"1070",29,22,11,24
"1071",24,21,22,30
"1072",25,20,23,25
"1073",20,16,18,24
"1074",22,29,23,25
"1075",23,16,25,20
"1076",16,27,25,20
"1077",19,15,16,29
"1078",23,18,22,21
"1079",19,27,24,27
"1080",18,21,21,19
"1081",15,27,19,23
"1082",22,21,18,21
"1083",20,22,22,18
"1084",20,19,16,22
"1085",24,26,18,23
"1086",18,23,27,12
"1087",21,27,24,22
"1088",20,14,27,13
"1089",21,20,20,13
"1090",23,15,17,14
"1091",25,25,23,14
"1092",21,23,23,23
"1093",20,22,17,23
"1094",23,26,13,21
"1095",13,18,23,24
"1096",25,23,22,19
"1097",20,32,26,21
"1098",16,18,23,21
"1099",21,14,21,25
"1100",27,25,19,24
"1101",23,19,16,14
"1102",22,27,22,26
"1103",26,17,16,23
"1104",15,31,19,19
"1105",21,21,28,28
"1106",28,30,24,29
"1107",33,15,19,14
"1108",27,23,20,27
"1109",23,25,19,14
"1110",29,25,17,24
"1111",24,23,19,26
"1112",21,24,15,21
"1113",20,23,23,27
"1114",25,23,23,21
"1115",24,24,17,19
"1116",20,19,27,23
"1117",27,13,22,10
"1118",17,21,26,28
"1119",18,27,21,23
"1120",22,25,20,16
"1121",24,22,29,21
"1122",25,24,25,25
"1123",24,19,26,19
"1124",17,25,19,23
"1125",23,33,24,23
"1126",26,17,18,13
"1127",22,20,18,19
"1128",31,27,19,19
"1129",30,26,20,25
"1130",14,21,27,19
"1131",22,19,20,19
"1132",20,23,24,25
"1133",19,13,23,23
"1134",14,23,24,16
"1135",23,18,25,20
"1136",28,27,17,22
"1137",15,25,27,20
"1138",23,20,11,24
"1139",15,23,18,18
"1140",18,23,21,22
"1141",23,22,26,18
"1142",32,24,25,21
"1143",27,25,14,21
"1144",23,21,18,21
"1145",18,12,21,22
"1146",23,18,22,28
"1147",26,22,18,27
"1148",20,16,24,23
"1149",18,16,14,19
"1150",17,19,26,28
"1151",24,24,18,34
"1152",19,27,14,17
"1153",15,25,21,31
"1154",28,14,26,29
"1155",24,21,18,21
"1156",16,20,17,17
"1157",24,21,17,19
"1158",25,21,23,25
"1159",22,25,18,30
"1160",22,20,30,26
"1161",23,22,29,21
"1162",23,25,18,24
"1163",24,23,17,19
"1164",24,21,19,24
"1165",20,28,26,22
"1166",22,29,29,19
"1167",21,24,22,22
"1168",15,22,16,18
"1169",26,26,22,24
"1170",16,20,25,30
"1171",23,18,14,22
"1172",22,21,25,27
"1173",24,25,22,27
"1174",20,33,20,22
"1175",15,20,18,18
"1176",24,16,24,23
"1177",15,23,25,25
"1178",20,17,18,19
"1179",27,14,22,21
"1180",12,28,15,24
"1181",20,22,18,15
"1182",19,26,26,27
"1183",18,17,15,22
"1184",18,14,23,22
"1185",24,18,21,23
"1186",19,23,29,17
"1187",24,20,24,20
"1188",18,23,22,17
"1189",23,19,25,21
"1190",27,20,25,23
"1191",15,28,24,26
"1192",23,20,16,22
"1193",18,21,17,15
"1194",21,23,17,32
"1195",23,18,18,21
"1196",21,23,21,22
"1197",22,29,14,18
"1198",25,27,15,24
"1199",13,22,19,27
"1200",20,22,18,27
"1201",21,20,25,20
"1202",26,21,21,21
"1203",16,19,21,18
"1204",23,23,11,28
"1205",17,21,27,31
"1206",23,27,21,20
"1207",14,26,26,25
"1208",26,19,13,26
"1209",22,23,24,24
"1210",27,25,17,19
"1211",28,25,20,21
"1212",25,19,17,28
"1213",19,17,22,27
"1214",23,21,21,22
"1215",22,23,21,23
"1216",23,26,28,17
"1217",24,14,22,18
"1218",25,20,16,23
"1219",19,27,20,25
"1220",27,24,28,17
"1221",17,22,20,29
"1222",14,19,16,18
"1223",22,24,19,20
"1224",26,28,19,18
"1225",23,12,20,19
"1226",18,27,20,14
"1227",20,28,17,23
"1228",20,24,19,25
"1229",22,27,20,23
"1230",15,25,23,28
"1231",16,24,23,25
"1232",20,19,27,22
"1233",18,31,21,27
"1234",34,15,15,20
"1235",22,22,26,27
"1236",27,16,20,17
"1237",16,16,22,21
"1238",20,21,24,19
"1239",24,17,14,18
"1240",15,21,20,30
"1241",25,25,17,15
"1242",25,23,22,23
"1243",25,20,17,25
"1244",28,17,24,23
"1245",23,24,28,18
